num_fila,wall_time-s,user_time-s,sys_time-s,cpu_total-s,percent_cpu,mem_rss-kb
3,0.004335,0.000302,0.004033,0.004335,6.96,40
2,0.004502,0.000286,0.004216,0.004502,6.34,40
3,0.004470,0.000310,0.004160,0.004470,6.93,40
6,0.004653,0.000591,0.004062,0.004653,12.70,40
6,0.005307,0.000668,0.004639,0.005307,12.59,40
5,0.004769,0.000504,0.004265,0.004769,10.56,40
2,0.004091,0.000214,0.003877,0.004091,5.23,40
4,0.004623,0.000453,0.004170,0.004623,9.79,40
2,0.004517,0.000277,0.004239,0.004517,6.14,40
5,0.005069,0.000590,0.004479,0.005069,11.64,40
2,0.004502,0.000320,0.004182,0.004502,7.11,40
2,0.004416,0.000269,0.004146,0.004416,6.10,40
2,0.004669,0.000264,0.004405,0.004669,5.66,40
2,0.005578,0.000289,0.005289,0.005578,5.18,40
4,0.005070,0.000429,0.004641,0.005070,8.46,40
6,0.004970,0.000731,0.004239,0.004970,14.71,40
4,0.005280,0.000435,0.004845,0.005280,8.25,40
5,0.005060,0.000562,0.004497,0.005060,11.11,40
5,0.005120,0.000676,0.004444,0.005120,13.21,40
2,0.004882,0.000286,0.004596,0.004882,5.87,40
2,0.005204,0.000302,0.004901,0.005204,5.81,40
5,0.005269,0.000549,0.004720,0.005269,10.42,40
2,0.004732,0.000269,0.004463,0.004732,5.68,40
6,0.005086,0.000698,0.004388,0.005086,13.72,40
4,0.005021,0.000455,0.004566,0.005021,9.07,40
4,0.005352,0.000472,0.004880,0.005352,8.82,40
5,0.004952,0.000595,0.004358,0.004952,12.01,40
5,0.005079,0.000595,0.004484,0.005079,11.72,40
3,0.004763,0.000357,0.004406,0.004763,7.50,40
2,0.004615,0.000261,0.004354,0.004615,5.66,40
3,0.004542,0.000321,0.004221,0.004542,7.07,40
4,0.004473,0.000403,0.004070,0.004473,9.01,40
2,0.004675,0.000241,0.004434,0.004675,5.16,40
3,0.005297,0.000401,0.004896,0.005297,7.56,40
6,0.005139,0.000683,0.004456,0.005139,13.30,40
5,0.005357,0.000545,0.004812,0.005357,10.18,40
6,0.005614,0.000683,0.004931,0.005614,12.17,40
4,0.005490,0.000551,0.004939,0.005490,10.03,40
6,0.006832,0.000705,0.006127,0.006832,10.32,40
4,0.005821,0.000485,0.005335,0.005821,8.34,40
5,0.005708,0.000582,0.005126,0.005708,10.19,40
5,0.005661,0.000644,0.005017,0.005661,11.38,40
4,0.005905,0.000612,0.005292,0.005905,10.37,40
4,0.004800,0.000416,0.004384,0.004800,8.67,40
4,0.004684,0.000459,0.004225,0.004684,9.81,40
4,0.005508,0.000458,0.005050,0.005508,8.31,40
5,0.004781,0.000559,0.004222,0.004781,11.70,40
2,0.005312,0.000325,0.004987,0.005312,6.12,40
6,0.005437,0.000679,0.004757,0.005437,12.49,40
3,0.004741,0.000486,0.004255,0.004741,10.25,40
6,0.005317,0.000689,0.004628,0.005317,12.96,40
6,0.004931,0.000722,0.004209,0.004931,14.63,40
2,0.004469,0.000271,0.004197,0.004469,6.07,40
5,0.004911,0.000542,0.004369,0.004911,11.04,40
4,0.005031,0.000467,0.004564,0.005031,9.28,40
4,0.005048,0.000506,0.004542,0.005048,10.02,40
2,0.004397,0.000257,0.004140,0.004397,5.84,40
5,0.005475,0.000534,0.004942,0.005475,9.74,40
2,0.004761,0.000248,0.004512,0.004761,5.22,40
4,0.004837,0.000572,0.004265,0.004837,11.82,40
5,0.005066,0.000520,0.004546,0.005066,10.27,40
5,0.005200,0.000545,0.004656,0.005200,10.47,40
4,0.004767,0.000510,0.004257,0.004767,10.70,40
3,0.004954,0.000369,0.004585,0.004954,7.44,40
5,0.005609,0.000600,0.005010,0.005609,10.69,40
4,0.004842,0.000449,0.004394,0.004842,9.27,40
3,0.004603,0.000323,0.004281,0.004603,7.01,40
6,0.005389,0.000693,0.004696,0.005389,12.86,40
4,0.005538,0.000484,0.005054,0.005538,8.74,40
6,0.005204,0.000694,0.004511,0.005204,13.33,40
6,0.005393,0.000713,0.004680,0.005393,13.22,40
3,0.004863,0.000371,0.004492,0.004863,7.62,40
3,0.005373,0.000442,0.004931,0.005373,8.22,40
6,0.007189,0.001249,0.005941,0.007189,17.37,40
4,0.006607,0.000601,0.006005,0.006607,9.10,40
3,0.005061,0.000347,0.004713,0.005061,6.86,40
2,0.005182,0.000284,0.004899,0.005182,5.47,40
2,0.005103,0.000294,0.004810,0.005103,5.76,40
2,0.004662,0.000267,0.004395,0.004662,5.72,40
6,0.005537,0.000707,0.004830,0.005537,12.76,40
3,0.004768,0.000324,0.004444,0.004768,6.79,40
6,0.005087,0.000695,0.004392,0.005087,13.67,40
4,0.005623,0.000478,0.005145,0.005623,8.50,40
3,0.005067,0.000366,0.004701,0.005067,7.23,40
4,0.004861,0.000433,0.004428,0.004861,8.91,40
6,0.005045,0.000639,0.004406,0.005045,12.66,40
6,0.005349,0.000661,0.004688,0.005349,12.36,40
2,0.005266,0.000299,0.004967,0.005266,5.68,40
3,0.004676,0.000377,0.004299,0.004676,8.06,40
4,0.004687,0.000428,0.004260,0.004687,9.12,40
4,0.004951,0.000483,0.004468,0.004951,9.76,40
6,0.005125,0.000597,0.004528,0.005125,11.65,40
3,0.004535,0.000342,0.004194,0.004535,7.53,40
6,0.004936,0.000623,0.004313,0.004936,12.61,40
2,0.004693,0.000278,0.004415,0.004693,5.92,40
4,0.005729,0.000564,0.005166,0.005729,9.84,40
5,0.006376,0.000556,0.005820,0.006376,8.72,40
5,0.005883,0.000648,0.005235,0.005883,11.01,40
4,0.005726,0.000468,0.005258,0.005726,8.16,40
6,0.005372,0.000717,0.004655,0.005372,13.34,40
3,0.004874,0.000374,0.004500,0.004874,7.67,40
6,0.005451,0.000699,0.004752,0.005451,12.83,40
5,0.005101,0.000538,0.004563,0.005101,10.55,40
2,0.004652,0.000258,0.004394,0.004652,5.55,40
4,0.004957,0.000453,0.004504,0.004957,9.13,40
2,0.005123,0.000271,0.004852,0.005123,5.29,40
4,0.005012,0.000475,0.004537,0.005012,9.47,40
6,0.005262,0.000687,0.004575,0.005262,13.06,40
5,0.006190,0.000579,0.005611,0.006190,9.35,40
3,0.005356,0.000400,0.004956,0.005356,7.47,40
5,0.005248,0.000539,0.004709,0.005248,10.26,40
5,0.005843,0.000633,0.005209,0.005843,10.84,40
2,0.005164,0.000255,0.004909,0.005164,4.94,40
4,0.004817,0.000476,0.004341,0.004817,9.88,40
4,0.005563,0.000524,0.005040,0.005563,9.41,40
4,0.004974,0.000476,0.004498,0.004974,9.58,40
3,0.005143,0.000388,0.004755,0.005143,7.54,40
4,0.005134,0.000444,0.004690,0.005134,8.65,40
4,0.004589,0.000419,0.004171,0.004589,9.13,40
5,0.005387,0.000636,0.004751,0.005387,11.81,40
3,0.004945,0.000395,0.004550,0.004945,7.98,40
6,0.006572,0.000807,0.005766,0.006572,12.27,40
6,0.006314,0.000712,0.005602,0.006314,11.28,40
2,0.005048,0.000322,0.004726,0.005048,6.38,40
5,0.005671,0.000562,0.005109,0.005671,9.90,40
3,0.005813,0.000456,0.005357,0.005813,7.84,40
3,0.004758,0.000379,0.004379,0.004758,7.96,40
6,0.005819,0.000705,0.005114,0.005819,12.11,40
5,0.005479,0.000604,0.004875,0.005479,11.03,40
4,0.004997,0.000460,0.004537,0.004997,9.20,40
3,0.005265,0.000403,0.004862,0.005265,7.65,40
2,0.004681,0.000259,0.004422,0.004681,5.53,40
3,0.005009,0.000369,0.004640,0.005009,7.37,40
3,0.004709,0.000344,0.004365,0.004709,7.31,40
6,0.005433,0.000714,0.004719,0.005433,13.14,40
